pattern_id,sport,market_type,source_combo,current_tier_if_known,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,confidence_bucket,audit_flag,proposed_policy,proposed_reason,manual_decision,manual_note
NBA|betql|player_prop,NBA,player_prop,betql,,16088,7949,8130,9,0.4944,0.4866,-1024.48,-0.0647,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.487,,
NBA|action|player_prop,NBA,player_prop,action,,5673,2864,2800,9,0.5056,0.4926,-2543.17,-0.8238,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.493,,
NBA|bettingpros_experts|player_prop,NBA,player_prop,bettingpros_experts,strong_list,5066,3004,1924,138,0.6096,0.5959,-67.24,-0.0138,strong,strong,keep_auto_a,"Strong: wilson=0.596, n=4928",,
MLB|action|moneyline,MLB,moneyline,action,,2735,1368,1367,0,0.5002,0.4815,-1363.19,-0.995,strong,mlb_immature,watchlist_only,MLB patterns not yet mature,,
MLB|action|total,MLB,total,action,,2151,1068,1008,75,0.5145,0.4929,-1006.14,-0.9273,strong,mlb_immature,watchlist_only,MLB patterns not yet mature,,
NBA|oddstrader|player_prop,NBA,player_prop,oddstrader,,1960,1013,947,0,0.5168,0.4947,-157.18,-0.0832,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.495,,
NBA|sportsline|player_prop,NBA,player_prop,sportsline,strong_list,1900,1016,884,0,0.5347,0.5123,-32.64,-0.0173,strong,solid,keep_auto_a,"Solid: wilson=0.512, n=1900",,
NBA|action|spread,NBA,spread,action,strong_list,1375,728,641,6,0.5318,0.5053,-326.79,-0.3314,strong,solid,keep_auto_a,"Solid: wilson=0.505, n=1369",,
MLB|sportsline|moneyline,MLB,moneyline,sportsline,,1087,562,525,0,0.517,0.4873,-89.54,-0.0824,strong,mlb_immature,watchlist_only,MLB patterns not yet mature,,
NBA|action|total,NBA,total,action,strong_list,1059,576,479,4,0.546,0.5158,-251.94,-0.3456,strong,solid,keep_auto_a,"Solid: wilson=0.516, n=1055",,
NBA|action|betql|player_prop,NBA,player_prop,action|betql,,961,494,452,15,0.5222,0.4903,-207.58,-0.2817,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.490,,
MLB|action|spread,MLB,spread,action,suspicious_list,887,403,467,17,0.4632,0.4303,-466.34,-0.9635,strong,mlb_immature,watchlist_only,MLB patterns not yet mature,,
NBA|betql|total,NBA,total,betql,suspicious_list,803,357,436,10,0.4502,0.4159,-436.0,-0.9776,strong,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.416,,
NBA|covers|player_prop,NBA,player_prop,covers,suspicious_list,578,287,291,0,0.4965,0.4559,-61.23,-0.1132,strong,marginal,exclude_from_auto_a,"Marginal: wilson=0.456, insufficient edge",,
NBA|bettingpros_experts|moneyline,NBA,moneyline,bettingpros_experts,strong_list,523,321,197,5,0.6197,0.5771,6.76,0.0131,strong,strong,keep_auto_a,"Strong: wilson=0.577, n=518",,
NBA|bettingpros_props|player_prop,NBA,player_prop,bettingpros_props,suspicious_list,508,243,264,1,0.4793,0.4361,-44.88,-0.0884,strong,marginal,exclude_from_auto_a,"Marginal: wilson=0.436, insufficient edge",,
NBA|action|dimers|spread,NBA,spread,action|dimers,suspicious_list,504,239,255,10,0.4838,0.44,-123.86,-0.3058,strong,marginal,exclude_from_auto_a,"Marginal: wilson=0.440, insufficient edge",,
NBA|bettingpros_experts|spread,NBA,spread,bettingpros_experts,,493,256,234,3,0.5224,0.4782,-14.79,-0.031,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.478,,
NBA|action|moneyline,NBA,moneyline,action,suspicious_list,482,231,250,1,0.4802,0.4359,-123.61,-0.3424,strong,marginal,exclude_from_auto_a,"Marginal: wilson=0.436, insufficient edge",,
NBA|betql|spread,NBA,spread,betql,,465,234,225,6,0.5098,0.4642,-218.14,-0.9243,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.464,,
NBA|dimers|player_prop,NBA,player_prop,dimers,suspicious_list,422,158,264,0,0.3744,0.3296,-32.47,-0.0769,strong,very_weak,exclude_from_auto_a,"Very weak: wilson=0.330, 158W-264L",,
NBA|action|sportsline|spread,NBA,spread,action|sportsline,,408,215,187,6,0.5348,0.486,-115.08,-0.4246,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.486,,
NBA|bettingpros_experts|total,NBA,total,bettingpros_experts,strong_list,383,220,163,0,0.5744,0.5244,16.8,0.0465,strong,strong,keep_auto_a,"Strong: wilson=0.524, n=383",,
NBA|oddstrader|spread,NBA,spread,oddstrader,suspicious_list,366,182,179,5,0.5042,0.4528,-150.91,-0.6829,strong,marginal,exclude_from_auto_a,"Marginal: wilson=0.453, insufficient edge",,
NBA|oddstrader|moneyline,NBA,moneyline,oddstrader,suspicious_list,309,144,165,0,0.466,0.4112,-166.83,-1.005,strong,below_breakeven,exclude_from_auto_a,Below break-even: wilson=0.411,,
NBA|sportsline|spread,NBA,spread,sportsline,,307,158,144,5,0.5232,0.4669,-31.69,-0.1161,strong,acceptable,keep_auto_a,Acceptable edge: wilson=0.467,,
NBA|dimers|moneyline,NBA,moneyline,dimers,suspicious_list,248,100,148,0,0.4032,0.3441,-13.22,-0.054,strong,very_weak,exclude_from_auto_a,"Very weak: wilson=0.344, 100W-148L",,
NBA|sportsline|moneyline,NBA,moneyline,sportsline,strong_list,232,133,99,0,0.5733,0.5089,-11.66,-0.0512,strong,solid,keep_auto_a,"Solid: wilson=0.509, n=232",,
NBA|juicereel_sxebets|player_prop,NBA,player_prop,juicereel_sxebets,suspicious_list,221,106,112,3,0.4862,0.4207,-27.43,-0.1515,strong,marginal,exclude_from_auto_a,"Marginal: wilson=0.421, insufficient edge",,
NBA|oddstrader|total,NBA,total,oddstrader,suspicious_list,193,94,97,2,0.4921,0.4221,-90.83,-0.8569,strong,marginal,exclude_from_auto_a,"Marginal: wilson=0.422, insufficient edge",,
